"date","cases","deaths"
"1/22/20",0,0
"1/23/20",0,0
"1/24/20",0,0
"1/25/20",0,0
"1/26/20",0,0
"1/27/20",0,0
"1/28/20",0,0
"1/29/20",0,0
"1/30/20",0,0
"1/31/20",0,0
"2/1/20",0,0
"2/2/20",0,0
"2/3/20",0,0
"2/4/20",0,0
"2/5/20",0,0
"2/6/20",0,0
"2/7/20",0,0
"2/8/20",0,0
"2/9/20",0,0
"2/10/20",0,0
"2/11/20",0,0
"2/12/20",0,0
"2/13/20",0,0
"2/14/20",0,0
"2/15/20",0,0
"2/16/20",0,0
"2/17/20",0,0
"2/18/20",0,0
"2/19/20",0,0
"2/20/20",0,0
"2/21/20",0,0
"2/22/20",0,0
"2/23/20",0,0
"2/24/20",0,0
"2/25/20",0,0
"2/26/20",0,0
"2/27/20",0,0
"2/28/20",0,0
"2/29/20",0,0
"3/1/20",0,0
"3/2/20",0,0
"3/3/20",0,0
"3/4/20",0,0
"3/5/20",0,0
"3/6/20",0,0
"3/7/20",0,0
"3/8/20",0,0
"3/9/20",0,0
"3/10/20",0,0
"3/11/20",0,0
"3/12/20",0,0
"3/13/20",0,0
"3/14/20",2,0
"3/15/20",10,0
"3/16/20",17,0
"3/17/20",33,0
"3/18/20",36,0
"3/19/20",42,0
"3/20/20",42,0
"3/21/20",70,0
"3/22/20",70,0
"3/23/20",77,0
"3/24/20",84,0
"3/25/20",91,0
"3/26/20",107,0
"3/27/20",107,1
"3/28/20",119,2
"3/29/20",119,2
"3/30/20",135,3
"3/31/20",135,3
"4/1/20",143,3
"4/2/20",146,5
"4/3/20",153,7
"4/4/20",155,7
"4/5/20",159,7
"4/6/20",165,7
"4/7/20",165,7
"4/8/20",167,9
"4/9/20",171,9
"4/10/20",171,9
"4/11/20",175,9
"4/12/20",181,9
"4/13/20",189,9
"4/14/20",189,9
"4/15/20",197,9
"4/16/20",204,9
"4/17/20",204,9
"4/18/20",227,9
"4/19/20",256,9
"4/20/20",256,9
"4/21/20",285,10
"4/22/20",288,10
"4/23/20",311,10
"4/24/20",318,10
"4/25/20",323,10
"4/26/20",325,10
"4/27/20",329,10
"4/28/20",329,10
"4/29/20",331,10
"4/30/20",333,16
"5/1/20",335,10
"5/2/20",345,10
"5/3/20",357,10
"5/4/20",357,10
"5/5/20",361,10
"5/6/20",379,10
"5/7/20",381,10
"5/8/20",388,10
"5/9/20",402,10
"5/10/20",414,10
"5/11/20",422,10
"5/12/20",423,10
"5/13/20",423,10
"5/14/20",455,10
"5/15/20",459,10
"5/16/20",504,10
"5/17/20",541,10
"5/18/20",618,10
"5/19/20",749,10
"5/20/20",824,10
"5/21/20",882,10
"5/22/20",944,10
"5/23/20",1010,10
"5/24/20",1121,10
"5/25/20",1177,10
"5/26/20",1211,11
"5/27/20",1245,11
"5/28/20",1325,11
"5/29/20",1370,14
"5/30/20",1459,14
"5/31/20",1510,14
"6/1/20",1662,17
"6/2/20",1819,18
"6/3/20",1952,20
"6/4/20",2087,20
"6/5/20",2145,20
"6/6/20",2316,22
"6/7/20",2377,22
"6/8/20",2473,22
"6/9/20",2632,23
"6/10/20",2738,23
"6/11/20",2814,23
